ship,stw,wind_speed,wind_direction,power_without_wing,power_with_wing,id
FR35-2-Handymax-v2-Opt,12,2,130,3082.98,3077.98,430417
FR35-2-Handymax-v2-Opt,12,2,135,3080.66,3076.74,430418
FR35-2-Handymax-v2-Opt,12,2,140,3078.49,3075.73,430419
FR35-2-Handymax-v2-Opt,12,2,145,3076.49,3074.93,430420
FR35-2-Handymax-v2-Opt,12,2,150,3074.64,3074.35,430421
FR35-2-Handymax-v2-Opt,12,2,155,3072.94,3072.94,430422
FR35-2-Handymax-v2-Opt,12,2,160,3071.39,3071.39,430423
FR35-2-Handymax-v2-Opt,12,2,165,3069.99,3069.99,430424
FR35-2-Handymax-v2-Opt,12,2,170,3068.73,3068.73,430425
FR35-2-Handymax-v2-Opt,12,2,175,3067.6,3067.6,430426
FR35-2-Handymax-v2-Opt,12,2,180,3066.6,3066.6,430427
FR35-2-Handymax-v2-Opt,12,2.5,0,3144.69,3144.69,430428
FR35-2-Handymax-v2-Opt,12,2.5,5,3146.13,3146.13,430429
FR35-2-Handymax-v2-Opt,12,2.5,10,3147.02,3147.02,430430
FR35-2-Handymax-v2-Opt,12,2.5,15,3147.37,3147.37,430431
FR35-2-Handymax-v2-Opt,12,2.5,20,3147.19,3147.19,430432
FR35-2-Handymax-v2-Opt,12,2.5,25,3146.49,3146.49,430433
FR35-2-Handymax-v2-Opt,12,2.5,30,3145.31,3145.31,430434
FR35-2-Handymax-v2-Opt,12,2.5,35,3143.66,3142.86,430435
FR35-2-Handymax-v2-Opt,12,2.5,40,3141.59,3138.48,430436
FR35-2-Handymax-v2-Opt,12,2.5,45,3139.13,3133.87,430437
FR35-2-Handymax-v2-Opt,12,2.5,50,3136.33,3129.08,430438
FR35-2-Handymax-v2-Opt,12,2.5,55,3133.22,3124.17,430439
FR35-2-Handymax-v2-Opt,12,2.5,60,3129.86,3119.19,430440
FR35-2-Handymax-v2-Opt,12,2.5,65,3126.29,3114.22,430441
FR35-2-Handymax-v2-Opt,12,2.5,70,3122.56,3109.3,430442
FR35-2-Handymax-v2-Opt,12,2.5,75,3118.7,3104.49,430443
FR35-2-Handymax-v2-Opt,12,2.5,80,3114.76,3099.85,430444
FR35-2-Handymax-v2-Opt,12,2.5,85,3110.79,3095.43,430445
FR35-2-Handymax-v2-Opt,12,2.5,90,3106.82,3091.27,430446
FR35-2-Handymax-v2-Opt,12,2.5,95,3102.88,3087.39,430447
FR35-2-Handymax-v2-Opt,12,2.5,100,3099.01,3083.84,430448
FR35-2-Handymax-v2-Opt,12,2.5,105,3095.24,3080.63,430449
FR35-2-Handymax-v2-Opt,12,2.5,110,3091.6,3077.76,430450
FR35-2-Handymax-v2-Opt,12,2.5,115,3088.1,3075.23,430451
FR35-2-Handymax-v2-Opt,12,2.5,120,3084.77,3073.04,430452
FR35-2-Handymax-v2-Opt,12,2.5,125,3081.62,3071.18,430453
FR35-2-Handymax-v2-Opt,12,2.5,130,3078.67,3069.62,430454
FR35-2-Handymax-v2-Opt,12,2.5,135,3075.92,3068.35,430455
FR35-2-Handymax-v2-Opt,12,2.5,140,3073.37,3067.34,430456
FR35-2-Handymax-v2-Opt,12,2.5,145,3071.03,3066.57,430457
FR35-2-Handymax-v2-Opt,12,2.5,150,3068.89,3066.04,430458
FR35-2-Handymax-v2-Opt,12,2.5,155,3066.95,3065.72,430459
FR35-2-Handymax-v2-Opt,12,2.5,160,3065.19,3065.19,430460
FR35-2-Handymax-v2-Opt,12,2.5,165,3063.6,3063.6,430461
FR35-2-Handymax-v2-Opt,12,2.5,170,3062.17,3062.17,430462
FR35-2-Handymax-v2-Opt,12,2.5,175,3060.87,3060.87,430463
FR35-2-Handymax-v2-Opt,12,2.5,180,3059.69,3059.69,430464
FR35-2-Handymax-v2-Opt,12,3,0,3155.14,3155.14,430465
FR35-2-Handymax-v2-Opt,12,3,5,3156.91,3156.91,430466
FR35-2-Handymax-v2-Opt,12,3,10,3157.97,3157.97,430467
FR35-2-Handymax-v2-Opt,12,3,15,3158.35,3158.35,430468
FR35-2-Handymax-v2-Opt,12,3,20,3158.04,3158.04,430469
FR35-2-Handymax-v2-Opt,12,3,25,3157.08,3157.08,430470
FR35-2-Handymax-v2-Opt,12,3,30,3155.51,3154.62,430471
FR35-2-Handymax-v2-Opt,12,3,35,3153.37,3149.45,430472
FR35-2-Handymax-v2-Opt,12,3,40,3150.7,3143.92,430473
FR35-2-Handymax-v2-Opt,12,3,45,3147.56,3138.09,430474
FR35-2-Handymax-v2-Opt,12,3,50,3144,3132.04,430475
FR35-2-Handymax-v2-Opt,12,3,55,3140.09,3125.83,430476
FR35-2-Handymax-v2-Opt,12,3,60,3135.88,3119.55,430477
FR35-2-Handymax-v2-Opt,12,3,65,3131.44,3113.29,430478
FR35-2-Handymax-v2-Opt,12,3,70,3126.81,3107.12,430479
FR35-2-Handymax-v2-Opt,12,3,75,3122.06,3101.12,430480
FR35-2-Handymax-v2-Opt,12,3,80,3117.24,3095.38,430481
FR35-2-Handymax-v2-Opt,12,3,85,3112.4,3089.95,430482
FR35-2-Handymax-v2-Opt,12,3,90,3107.58,3084.9,430483
FR35-2-Handymax-v2-Opt,12,3,95,3102.83,3080.27,430484
FR35-2-Handymax-v2-Opt,12,3,100,3098.19,3076.1,430485
FR35-2-Handymax-v2-Opt,12,3,105,3093.69,3072.41,430486
FR35-2-Handymax-v2-Opt,12,3,110,3089.37,3069.2,430487
FR35-2-Handymax-v2-Opt,12,3,115,3085.24,3066.47,430488
FR35-2-Handymax-v2-Opt,12,3,120,3081.34,3064.18,430489
FR35-2-Handymax-v2-Opt,12,3,125,3077.68,3062.32,430490
FR35-2-Handymax-v2-Opt,12,3,130,3074.27,3060.85,430491
FR35-2-Handymax-v2-Opt,12,3,135,3071.11,3059.71,430492
FR35-2-Handymax-v2-Opt,12,3,140,3068.22,3058.87,430493
FR35-2-Handymax-v2-Opt,12,3,145,3065.6,3058.28,430494
FR35-2-Handymax-v2-Opt,12,3,150,3063.22,3057.92,430495
FR35-2-Handymax-v2-Opt,12,3,155,3061.08,3057.76,430496
FR35-2-Handymax-v2-Opt,12,3,160,3059.16,3057.8,430497
FR35-2-Handymax-v2-Opt,12,3,165,3057.44,3057.44,430498
FR35-2-Handymax-v2-Opt,12,3,170,3055.88,3055.88,430499
FR35-2-Handymax-v2-Opt,12,3,175,3054.46,3054.46,430500
FR35-2-Handymax-v2-Opt,12,3,180,3053.14,3053.14,430501
FR35-2-Handymax-v2-Opt,12,3.5,0,3165.94,3165.94,430502
FR35-2-Handymax-v2-Opt,12,3.5,5,3168.06,3168.06,430503
FR35-2-Handymax-v2-Opt,12,3.5,10,3169.3,3169.3,430504
FR35-2-Handymax-v2-Opt,12,3.5,15,3169.68,3169.68,430505
FR35-2-Handymax-v2-Opt,12,3.5,20,3169.22,3169.22,430506
FR35-2-Handymax-v2-Opt,12,3.5,25,3167.97,3167.97,430507
FR35-2-Handymax-v2-Opt,12,3.5,30,3165.97,3162.38,430508
FR35-2-Handymax-v2-Opt,12,3.5,35,3163.28,3156.03,430509
FR35-2-Handymax-v2-Opt,12,3.5,40,3159.97,3149.24,430510
FR35-2-Handymax-v2-Opt,12,3.5,45,3156.09,3142.06,430511
FR35-2-Handymax-v2-Opt,12,3.5,50,3151.74,3134.6,430512
FR35-2-Handymax-v2-Opt,12,3.5,55,3146.98,3126.95,430513
FR35-2-Handymax-v2-Opt,12,3.5,60,3141.88,3119.21,430514
FR35-2-Handymax-v2-Opt,12,3.5,65,3136.53,3111.51,430515
FR35-2-Handymax-v2-Opt,12,3.5,70,3130.98,3103.94,430516
FR35-2-Handymax-v2-Opt,12,3.5,75,3125.32,3096.63,430517
FR35-2-Handymax-v2-Opt,12,3.5,80,3119.6,3089.66,430518
FR35-2-Handymax-v2-Opt,12,3.5,85,3113.88,3083.14,430519
FR35-2-Handymax-v2-Opt,12,3.5,90,3108.22,3077.15,430520
FR35-2-Handymax-v2-Opt,12,3.5,95,3102.66,3071.74,430521
FR35-2-Handymax-v2-Opt,12,3.5,100,3097.26,3066.96,430522
FR35-2-Handymax-v2-Opt,12,3.5,105,3092.04,3062.84,430523
FR35-2-Handymax-v2-Opt,12,3.5,110,3087.05,3059.38,430524
FR35-2-Handymax-v2-Opt,12,3.5,115,3082.31,3056.56,430525
FR35-2-Handymax-v2-Opt,12,3.5,120,3077.85,3054.34,430526
FR35-2-Handymax-v2-Opt,12,3.5,125,3073.69,3052.66,430527
FR35-2-Handymax-v2-Opt,12,3.5,130,3069.84,3051.45,430528
FR35-2-Handymax-v2-Opt,12,3.5,135,3066.32,3050.65,430529
FR35-2-Handymax-v2-Opt,12,3.5,140,3063.11,3050.17,430530
FR35-2-Handymax-v2-Opt,12,3.5,145,3060.22,3049.95,430531
FR35-2-Handymax-v2-Opt,12,3.5,150,3057.65,3049.92,430532
FR35-2-Handymax-v2-Opt,12,3.5,155,3055.35,3050.05,430533
FR35-2-Handymax-v2-Opt,12,3.5,160,3053.32,3050.31,430534
FR35-2-Handymax-v2-Opt,12,3.5,165,3051.51,3050.72,430535
FR35-2-Handymax-v2-Opt,12,3.5,170,3049.87,3049.87,430536
FR35-2-Handymax-v2-Opt,12,3.5,175,3048.37,3048.37,430537
FR35-2-Handymax-v2-Opt,12,3.5,180,3046.95,3046.95,430538
FR35-2-Handymax-v2-Opt,12,4,0,3177.1,3177.1,430539
FR35-2-Handymax-v2-Opt,12,4,5,3179.58,3179.58,430540
FR35-2-Handymax-v2-Opt,12,4,10,3180.99,3180.99,430541
FR35-2-Handymax-v2-Opt,12,4,15,3181.36,3181.36,430542
FR35-2-Handymax-v2-Opt,12,4,20,3180.73,3180.73,430543
FR35-2-Handymax-v2-Opt,12,4,25,3179.15,3177.2,430544
FR35-2-Handymax-v2-Opt,12,4,30,3176.69,3170.22,430545
FR35-2-Handymax-v2-Opt,12,4,35,3173.41,3162.6,430546
FR35-2-Handymax-v2-Opt,12,4,40,3169.4,3154.4,430547
FR35-2-Handymax-v2-Opt,12,4,45,3164.76,3145.74,430548
FR35-2-Handymax-v2-Opt,12,4,50,3159.56,3136.71,430549
FR35-2-Handymax-v2-Opt,12,4,55,3153.91,3127.45,430550
FR35-2-Handymax-v2-Opt,12,4,60,3147.9,3118.09,430551
FR35-2-Handymax-v2-Opt,12,4,65,3141.61,3108.77,430552
FR35-2-Handymax-v2-Opt,12,4,70,3135.13,3099.64,430553
FR35-2-Handymax-v2-Opt,12,4,75,3128.54,3090.85,430554
FR35-2-Handymax-v2-Opt,12,4,80,3121.91,3082.53,430555
FR35-2-Handymax-v2-Opt,12,4,85,3115.32,3074.8,430556
FR35-2-Handymax-v2-Opt,12,4,90,3108.82,3067.78,430557
FR35-2-Handymax-v2-Opt,12,4,95,3102.47,3061.54,430558
FR35-2-Handymax-v2-Opt,12,4,100,3096.31,3056.15,430559
FR35-2-Handymax-v2-Opt,12,4,105,3090.39,3051.64,430560
FR35-2-Handymax-v2-Opt,12,4,110,3084.75,3048.01,430561
FR35-2-Handymax-v2-Opt,12,4,115,3079.41,3045.22,430562
FR35-2-Handymax-v2-Opt,12,4,120,3074.41,3043.22,430563
FR35-2-Handymax-v2-Opt,12,4,125,3069.76,3041.92,430564
FR35-2-Handymax-v2-Opt,12,4,130,3065.49,3041.21,430565
FR35-2-Handymax-v2-Opt,12,4,135,3061.6,3040.98,430566
FR35-2-Handymax-v2-Opt,12,4,140,3058.09,3041.1,430567
FR35-2-Handymax-v2-Opt,12,4,145,3054.97,3041.45,430568
FR35-2-Handymax-v2-Opt,12,4,150,3052.21,3041.95,430569
FR35-2-Handymax-v2-Opt,12,4,155,3049.79,3042.52,430570
FR35-2-Handymax-v2-Opt,12,4,160,3047.68,3043.13,430571
FR35-2-Handymax-v2-Opt,12,4,165,3045.82,3043.79,430572
FR35-2-Handymax-v2-Opt,12,4,170,3044.15,3044.15,430573
FR35-2-Handymax-v2-Opt,12,4,175,3042.6,3042.6,430574
FR35-2-Handymax-v2-Opt,12,4,180,3041.1,3041.1,430575
FR35-2-Handymax-v2-Opt,12,4.5,0,3188.61,3188.61,430576
FR35-2-Handymax-v2-Opt,12,4.5,5,3191.46,3191.46,430577
FR35-2-Handymax-v2-Opt,12,4.5,10,3193.05,3193.05,430578
FR35-2-Handymax-v2-Opt,12,4.5,15,3193.41,3193.41,430579
FR35-2-Handymax-v2-Opt,12,4.5,20,3192.58,3192.58,430580
FR35-2-Handymax-v2-Opt,12,4.5,25,3190.64,3186.36,430581
FR35-2-Handymax-v2-Opt,12,4.5,30,3187.67,3178.14,430582
FR35-2-Handymax-v2-Opt,12,4.5,35,3183.76,3169.12,430583
FR35-2-Handymax-v2-Opt,12,4.5,40,3179.02,3159.39,430584
FR35-2-Handymax-v2-Opt,12,4.5,45,3173.56,3149.08,430585
FR35-2-Handymax-v2-Opt,12,4.5,50,3167.49,3138.32,430586
FR35-2-Handymax-v2-Opt,12,4.5,55,3160.92,3127.27,430587
FR35-2-Handymax-v2-Opt,12,4.5,60,3153.96,3116.09,430588
FR35-2-Handymax-v2-Opt,12,4.5,65,3146.72,3104.97,430589
FR35-2-Handymax-v2-Opt,12,4.5,70,3139.29,3094.09,430590
FR35-2-Handymax-v2-Opt,12,4.5,75,3131.77,3083.64,430591
FR35-2-Handymax-v2-Opt,12,4.5,80,3124.25,3073.8,430592
FR35-2-Handymax-v2-Opt,12,4.5,85,3116.79,3064.72,430593
FR35-2-Handymax-v2-Opt,12,4.5,90,3109.46,3056.56,430594
FR35-2-Handymax-v2-Opt,12,4.5,95,3102.33,3049.43,430595
FR35-2-Handymax-v2-Opt,12,4.5,100,3095.44,3043.42,430596
FR35-2-Handymax-v2-Opt,12,4.5,105,3088.84,3038.56,430597
FR35-2-Handymax-v2-Opt,12,4.5,110,3082.56,3034.83,430598
FR35-2-Handymax-v2-Opt,12,4.5,115,3076.64,3032.2,430599
FR35-2-Handymax-v2-Opt,12,4.5,120,3071.11,3030.57,430600
FR35-2-Handymax-v2-Opt,12,4.5,125,3065.99,3029.84,430601
FR35-2-Handymax-v2-Opt,12,4.5,130,3061.29,3029.86,430602
FR35-2-Handymax-v2-Opt,12,4.5,135,3057.04,3030.46,430603
FR35-2-Handymax-v2-Opt,12,4.5,140,3053.23,3031.44,430604
FR35-2-Handymax-v2-Opt,12,4.5,145,3049.87,3032.64,430605
FR35-2-Handymax-v2-Opt,12,4.5,150,3046.95,3033.9,430606
FR35-2-Handymax-v2-Opt,12,4.5,155,3044.42,3035.12,430607
FR35-2-Handymax-v2-Opt,12,4.5,160,3042.25,3036.22,430608
FR35-2-Handymax-v2-Opt,12,4.5,165,3040.38,3037.22,430609
FR35-2-Handymax-v2-Opt,12,0,0,3097.77,3097.77,430243
FR35-2-Handymax-v2-Opt,12,0,5,3097.77,3097.77,430244
FR35-2-Handymax-v2-Opt,12,0,10,3097.77,3097.77,430245
FR35-2-Handymax-v2-Opt,12,0,15,3097.77,3097.77,430246
FR35-2-Handymax-v2-Opt,12,0,20,3097.77,3097.77,430247
